lambda,relative_error,residual_norm,solution_norm,noise_norm
3.255405118685032e-11,5.908546780119444,0.0014291136249886254,85.31056921804507,0.0026375265738683546
4.436687330978607e-11,5.08264366940626,0.0014541571402358496,73.2932643531626,0.0026375265738683546
6.046619009070447e-11,4.360201879806902,0.0014793093744874433,62.786241325179475,0.0026375265738683546
8.240743309893666e-11,3.7378648276050734,0.0015041398789861723,53.743666990797784,0.0026375265738683546
1.1231045018329516e-10,3.207742408703515,0.0015283821229897783,46.053632617565746,0.0026375265738683546
1.5306431405563563e-10,2.7594862523345687,0.001551916446251497,39.56765910310694,0.0026375265738683546
2.0860644934719526e-10,2.3822272067762262,0.0015747249617263633,34.12826996144499,0.0026375265738683546
2.843030459302665e-10,2.065768849162891,0.0015968504151773566,29.58591062758533,0.0026375265738683546
3.874675120456128e-10,1.8010661187722794,0.001618372575719233,25.805696764034003,0.0026375265738683546
5.280670574582648e-10,1.580340988200082,0.0016393952223816173,22.669137178829704,0.0026375265738683546
7.196856730011529e-10,1.3970844848505182,0.0016600331980808948,20.0744224080349,0.0026375265738683546
9.808365445406671e-10,1.2459639790259363,0.0016804009030158664,17.935511738026552,0.0026375265738683546
1.3367506999197064e-09,1.1225991688101953,0.00170061171634955,16.179550896368085,0.0026375265738683546
1.821814698566971e-09,1.0232741706214068,0.0017207897508144125,14.743725307678304,0.0026375265738683546
2.48289288056032e-09,0.9447124629441788,0.001741080690038014,13.57333742070794,0.0026375265738683546
3.383855153428233e-09,0.8839651130407666,0.0017616472988283137,12.621471352450772,0.0026375265738683546
4.611747767708251e-09,0.8383556107278392,0.0017826541275251999,11.848906454891312,0.0026375265738683546
6.28520326924011e-09,0.8054162447786153,0.0018042682036685396,11.222984905054574,0.0026375265738683546
8.5659021536855e-09,0.7828276256582235,0.0018267029031022997,10.715639142866161,0.0026375265738683546
1.1674193588234575e-08,0.7684178027905939,0.0018503030636796626,10.301873832010354,0.0026375265738683546
1.59103843927215e-08,0.760234854146627,0.0018756312523129106,9.959600488943837,0.0026375265738683546
2.1683753109874286e-08,0.7566392924854783,0.0019034991950423617,9.670516702889941,0.0026375265738683546
2.955209235202888e-08,0.7563485722590411,0.001934910301652538,9.420982520595482,0.0026375265738683546
4.027559979850293e-08,0.7584084969453494,0.0019709278224202672,9.202056875730262,0.0026375265738683546
5.4890324509215463e-08,0.7621159812610148,0.0020125277685712393,9.008576046108693,0.0026375265738683546
7.480826455225093e-08,0.7669362275833668,0.0020605076742310387,8.837729118960114,0.0026375265738683546
1.0195378685327302e-07,0.7724433915913932,0.002115502833298942,8.687694779349947,0.0026375265738683546
1.389495494373136e-07,0.7782895531404533,0.002178141554348233,8.556666704406005,0.0026375265738683546
1.8936988889503563e-07,0.7841929653109593,0.002249366373341152,8.442326060094228,0.0026375265738683546
2.5808615404180767e-07,0.7899361462610928,0.0023309314560983367,8.341701322293847,0.0026375265738683546
3.51737350096938e-07,0.7953681703142368,0.0024260218201637065,8.251339783154204,0.0026375265738683546
4.793715645558209e-07,0.8004068257448543,0.0025398358824812745,8.167693353317862,0.0026375265738683546
6.533201459593756e-07,0.8050359977473825,0.0026798910567459346,8.087575660533242,0.0026375265738683546
8.903890941296736e-07,0.809294885483671,0.0028558419213162217,8.00852860665194,0.0026375265738683546
1.2134827677491432e-06,0.8132591896690918,0.003078806358602531,7.92897888064697,0.0026375265738683546
1.6538167833956698e-06,0.8170184146049867,0.003360517970146118,7.848155628550821,0.0026375265738683546
2.2539339047347844e-06,0.820655683108501,0.0037128091664098252,7.7658405584012815,0.0026375265738683546
3.0718143012686967e-06,0.8242356747123742,0.004147699216732825,7.682088212990984,0.0026375265738683546
4.186477288289947e-06,0.8278025867611298,0.004677793550978492,7.597051434962956,0.0026375265738683546
5.705615758781009e-06,0.8313851039297844,0.00531633205736178,7.510966273235202,0.0026375265738683546
7.776000906038043e-06,0.8350020616498465,0.006076593399123489,7.424229184693476,0.0026375265738683546
1.0597662486760708e-05,0.8386632390147897,0.006971400060053178,7.337416066279231,0.0026375265738683546
