alpha,condition_number,trial,rho,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
6,1000000,11,0.001,1e-06,33.48834328376245,0.7044790191679675,33488.34328376245,704.4790191679675
6,1000000,12,0.001,1e-06,47.46622703738386,0.6775077138264461,47466.22703738385,677.507713826446
6,1000000,13,0.001,1e-06,26.004482447752824,0.6470838284008641,26004.482447752824,647.083828400864
6,1000000,14,0.001,1e-06,25.17360417130597,0.6658922681976992,25173.60417130597,665.8922681976992
6,1000000,15,0.001,1e-06,35.17863963059343,0.6344628057291088,35178.63963059343,634.4628057291088
6,1000000,16,0.001,1e-06,24.52199767310289,0.6943234234531329,24521.99767310289,694.3234234531329
6,1000000,17,0.001,1e-06,38.45465492506555,0.7006326420573706,38454.654925065544,700.6326420573706
6,1000000,18,0.001,1e-06,33.92108845235473,0.7225265721040167,33921.08845235473,722.5265721040167
6,1000000,19,0.001,1e-06,36.900227470050666,0.693303431294334,36900.227470050675,693.3034312943341
8,100000000,0,0.001,1e-06,2092.8220070237794,0.7683953732296304,2092822.0070237794,768.3953732296303
8,100000000,1,0.001,1e-06,3146.524830205192,0.7875959861563177,3146524.830205192,787.5959861563176
8,100000000,2,0.001,1e-06,2722.6378337382735,0.7864083263966589,2722637.8337382735,786.4083263966589
8,100000000,3,0.001,1e-06,2547.5753443949607,0.7595868163058047,2547575.3443949604,759.5868163058047
8,100000000,4,0.001,1e-06,3467.646569352105,0.7501125573989341,3467646.569352105,750.1125573989341
8,100000000,5,0.001,1e-06,3584.4830596386278,0.8033806046039258,3584483.059638628,803.3806046039258
8,100000000,6,0.001,1e-06,3270.520440696121,0.7254365043144566,3270520.440696121,725.4365043144566
8,100000000,7,0.001,1e-06,3156.809601260057,0.8029996481954091,3156809.601260057,802.9996481954091
8,100000000,8,0.001,1e-06,3608.5265673762806,0.7877684709831733,3608526.5673762807,787.7684709831733
8,100000000,9,0.001,1e-06,1910.9573411874846,0.7920447899333581,1910957.3411874846,792.0447899333582
8,100000000,10,0.001,1e-06,3323.6276717466512,0.8201524189192528,3323627.671746651,820.1524189192528
8,100000000,11,0.001,1e-06,2375.1086818668564,0.7840867072786358,2375108.6818668568,784.086707278636
8,100000000,12,0.001,1e-06,2479.653337517027,0.7849432600350059,2479653.337517027,784.9432600350059
8,100000000,13,0.001,1e-06,2961.761520730784,0.7683668426056547,2961761.5207307846,768.3668426056548
8,100000000,14,0.001,1e-06,2464.1354504636015,0.7803657305504117,2464135.4504636014,780.3657305504116
8,100000000,15,0.001,1e-06,2405.3818486507366,0.79682579746,2405381.8486507367,796.82579746
8,100000000,16,0.001,1e-06,1730.7483696901243,0.7387521570443802,1730748.3696901242,738.7521570443803
8,100000000,17,0.001,1e-06,2754.909640008361,0.7659809764056625,2754909.6400083606,765.9809764056625
8,100000000,18,0.001,1e-06,1996.8464924708842,0.7780623771236255,1996846.4924708842,778.0623771236254
8,100000000,19,0.001,1e-06,2819.500125089458,0.801675508642324,2819500.1250894577,801.675508642324
